run_name,pretrain_steps,seed,model_hidden_dim,model_heads,model_depth,threshold,episodes_to_target,pretrain_policy_loss,pretrain_value_loss,pretrain_accuracy
pretrain_0_1x-seed0,0,0,128,4,2,0.8,700,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed0,0,0,128,4,2,0.9,800,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed0,0,0,128,4,2,0.97,1300,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed0,0,0,128,4,2,0.99,1700,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed1,0,1,128,4,2,0.8,900,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed1,0,1,128,4,2,0.9,1000,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed1,0,1,128,4,2,0.97,1600,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed1,0,1,128,4,2,0.99,1600,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed2,0,2,128,4,2,0.8,700,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed2,0,2,128,4,2,0.9,800,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed2,0,2,128,4,2,0.97,1000,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed2,0,2,128,4,2,0.99,1600,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed3,0,3,128,4,2,0.8,700,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed3,0,3,128,4,2,0.9,900,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed3,0,3,128,4,2,0.97,1200,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed3,0,3,128,4,2,0.99,1800,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed4,0,4,128,4,2,0.8,600,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed4,0,4,128,4,2,0.9,900,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed4,0,4,128,4,2,0.97,1600,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_0_1x-seed4,0,4,128,4,2,0.99,1800,2.2638523462837647,0.7872666795401957,0.20832588354490733
pretrain_20_1x-seed0,20,0,128,4,2,0.8,400,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed0,20,0,128,4,2,0.9,600,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed0,20,0,128,4,2,0.97,1100,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed0,20,0,128,4,2,0.99,2200,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed1,20,1,128,4,2,0.8,500,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed1,20,1,128,4,2,0.9,800,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed1,20,1,128,4,2,0.97,1400,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed1,20,1,128,4,2,0.99,1600,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed2,20,2,128,4,2,0.8,400,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed2,20,2,128,4,2,0.9,600,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed2,20,2,128,4,2,0.97,1100,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed2,20,2,128,4,2,0.99,2400,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed3,20,3,128,4,2,0.8,500,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed3,20,3,128,4,2,0.9,700,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed3,20,3,128,4,2,0.97,1400,0.4587138730867648,0.17817149776704505,0.827060611478634
pretrain_20_1x-seed3,20,3,128,4,2,0.99,2000,0.4587138730867648,0.17817149776704505,0.827060611478634
