episode,win_rate,draw_rate
0,0.0,0.1
100,0.0,0.15
200,0.0,0.25
300,0.0,0.385
400,0.0,0.59
500,0.0,0.74
600,0.0,0.815
700,0.0,0.85
800,0.0,0.915
900,0.0,0.895
1000,0.0,0.885
1100,0.0,0.87
1200,0.0,0.935
1300,0.0,0.915
1400,0.0,0.91
1500,0.0,0.95
1600,0.0,0.95
1700,0.0,0.97
1800,0.0,0.93
1900,0.0,0.955
2000,0.0,0.975
2100,0.0,0.94
2200,0.0,0.955
2300,0.0,0.955
2400,0.0,0.955
2500,0.0,0.935
2600,0.0,0.965
2700,0.0,0.965
2800,0.0,0.965
2900,0.0,0.95
3000,0.0,0.95
3100,0.0,0.95
3200,0.0,0.98
3300,0.0,0.965
3400,0.0,0.98
3500,0.0,0.975
3600,0.0,0.95
3700,0.0,0.995
