pretrain_steps,seed,threshold,episodes_to_target,model_hidden_dim,model_heads,model_depth,pretrain_policy_loss,pretrain_value_loss,pretrain_accuracy
100,0,0.8,300,96,3,2,0.10643645391908134,0.04139947737952056,0.9752816020025031
100,0,0.9,400,96,3,2,0.10643645391908134,0.04139947737952056,0.9752816020025031
100,0,0.97,1200,96,3,2,0.10643645391908134,0.04139947737952056,0.9752816020025031
100,0,0.99,1500,96,3,2,0.10643645391908134,0.04139947737952056,0.9752816020025031
