episode,win_rate,draw_rate
0,0.0,0.095
100,0.0,0.12
200,0.0,0.22
300,0.0,0.375
400,0.0,0.76
500,0.0,0.88
600,0.0,0.94
700,0.0,0.98
800,0.0,0.955
900,0.0,0.975
1000,0.0,0.985
1100,0.0,0.985
1200,0.0,0.96
1300,0.0,0.99
