episode,win_rate,draw_rate
0,0.0,0.25
100,0.0,0.32
200,0.0,0.41
300,0.0,0.655
400,0.0,0.745
500,0.0,0.81
600,0.0,0.885
700,0.0,0.895
800,0.0,0.935
900,0.0,0.895
1000,0.0,0.93
1100,0.0,0.965
1200,0.0,0.91
1300,0.0,0.955
1400,0.0,0.985
1500,0.0,0.985
1600,0.0,0.99
