episode,win_rate,draw_rate
0,0.0,0.23
100,0.0,0.31
200,0.0,0.6
300,0.0,0.865
400,0.0,0.955
500,0.0,0.975
600,0.0,0.985
700,0.0,0.98
800,0.0,0.975
900,0.0,0.99
