episode,win_rate,draw_rate
0,0.0,0.135
100,0.0,0.21
200,0.0,0.325
300,0.0,0.49
400,0.0,0.615
500,0.0,0.76
600,0.0,0.845
700,0.0,0.875
800,0.0,0.9
900,0.0,0.925
1000,0.0,0.935
1100,0.0,0.935
1200,0.0,0.935
1300,0.0,0.945
1400,0.0,0.955
1500,0.0,0.98
1600,0.0,0.97
1700,0.0,0.98
1800,0.0,0.955
1900,0.0,0.95
2000,0.0,0.965
2100,0.0,0.965
2200,0.0,0.985
2300,0.0,0.97
2400,0.0,0.985
2500,0.0,0.965
2600,0.0,0.975
2700,0.0,0.975
2800,0.0,0.98
2900,0.0,0.975
3000,0.0,0.965
3100,0.0,0.965
3200,0.0,0.985
3300,0.0,0.97
3400,0.0,0.985
3500,0.0,0.98
3600,0.0,0.965
3700,0.0,0.995
