episode,win_rate,draw_rate
0,0.0,0.245
100,0.0,0.54
200,0.0,0.655
300,0.0,0.855
400,0.0,0.95
500,0.0,0.95
600,0.0,0.96
700,0.0,0.985
800,0.0,0.985
900,0.0,0.975
1000,0.0,0.995
