episode,win_rate,draw_rate
0,0.0,0.27
100,0.0,0.85
200,0.0,0.815
300,0.0,0.955
400,0.0,0.975
500,0.0,0.97
600,0.0,0.985
700,0.0,0.985
800,0.0,0.99
