episode,win_rate,draw_rate
0,0.0,0.54
100,0.0,0.255
200,0.0,0.605
300,0.0,0.8
400,0.0,0.96
500,0.0,0.97
600,0.0,0.98
700,0.0,0.935
800,0.0,0.985
900,0.0,0.98
1000,0.0,0.98
1100,0.0,0.955
1200,0.0,1.0
