episode,win_rate,draw_rate
0,0.0,0.135
100,0.0,0.16
200,0.0,0.27
300,0.0,0.425
400,0.0,0.57
500,0.0,0.67
600,0.0,0.805
700,0.0,0.88
800,0.0,0.875
900,0.0,0.885
1000,0.0,0.9
1100,0.0,0.915
1200,0.0,0.945
1300,0.0,0.96
1400,0.0,0.94
1500,0.0,0.96
1600,0.0,0.93
1700,0.0,0.905
1800,0.0,0.935
1900,0.0,0.95
2000,0.0,0.96
2100,0.0,0.955
2200,0.0,0.945
2300,0.0,0.95
2400,0.0,0.97
2500,0.0,0.98
2600,0.0,0.97
2700,0.0,0.975
2800,0.0,0.97
2900,0.0,0.965
3000,0.0,0.985
3100,0.0,0.99
