run_name,pretrain_steps,seed,model_hidden_dim,model_heads,model_depth,episode,win_rate,draw_rate
pretrain_0_half-seed3,0,3,96,3,2,2000,0.0,0.97
pretrain_0_half-seed3,0,3,96,3,2,2100,0.0,0.985
pretrain_0_half-seed3,0,3,96,3,2,2200,0.0,0.98
pretrain_0_half-seed3,0,3,96,3,2,2300,0.0,0.98
pretrain_0_half-seed3,0,3,96,3,2,2400,0.0,0.975
pretrain_0_half-seed3,0,3,96,3,2,2500,0.0,0.985
pretrain_0_half-seed3,0,3,96,3,2,2600,0.0,0.99
pretrain_0_half-seed4,0,4,96,3,2,0,0.0,0.27
pretrain_0_half-seed4,0,4,96,3,2,100,0.0,0.275
pretrain_0_half-seed4,0,4,96,3,2,200,0.0,0.28
pretrain_0_half-seed4,0,4,96,3,2,300,0.0,0.34
pretrain_0_half-seed4,0,4,96,3,2,400,0.0,0.41
pretrain_0_half-seed4,0,4,96,3,2,500,0.0,0.495
pretrain_0_half-seed4,0,4,96,3,2,600,0.0,0.56
pretrain_0_half-seed4,0,4,96,3,2,700,0.0,0.54
pretrain_0_half-seed4,0,4,96,3,2,800,0.0,0.635
pretrain_0_half-seed4,0,4,96,3,2,900,0.0,0.725
pretrain_0_half-seed4,0,4,96,3,2,1000,0.0,0.81
pretrain_0_half-seed4,0,4,96,3,2,1100,0.0,0.835
pretrain_0_half-seed4,0,4,96,3,2,1200,0.0,0.9
pretrain_0_half-seed4,0,4,96,3,2,1300,0.0,0.85
pretrain_0_half-seed4,0,4,96,3,2,1400,0.0,0.875
pretrain_0_half-seed4,0,4,96,3,2,1500,0.0,0.895
pretrain_0_half-seed4,0,4,96,3,2,1600,0.0,0.935
pretrain_0_half-seed4,0,4,96,3,2,1700,0.0,0.985
pretrain_0_half-seed4,0,4,96,3,2,1800,0.0,0.955
pretrain_0_half-seed4,0,4,96,3,2,1900,0.0,0.935
pretrain_0_half-seed4,0,4,96,3,2,2000,0.0,0.95
pretrain_0_half-seed4,0,4,96,3,2,2100,0.0,0.96
pretrain_0_half-seed4,0,4,96,3,2,2200,0.0,0.95
pretrain_0_half-seed4,0,4,96,3,2,2300,0.0,0.95
pretrain_0_half-seed4,0,4,96,3,2,2400,0.0,0.96
pretrain_0_half-seed4,0,4,96,3,2,2500,0.0,0.975
pretrain_0_half-seed4,0,4,96,3,2,2600,0.0,0.975
pretrain_0_half-seed4,0,4,96,3,2,2700,0.0,0.965
pretrain_0_half-seed4,0,4,96,3,2,2800,0.0,0.975
pretrain_0_half-seed4,0,4,96,3,2,2900,0.0,0.98
pretrain_0_half-seed4,0,4,96,3,2,3000,0.0,0.97
pretrain_0_half-seed4,0,4,96,3,2,3100,0.0,0.975
pretrain_0_half-seed4,0,4,96,3,2,3200,0.0,0.995
pretrain_20_half-seed0,20,0,96,3,2,0,0.0,0.1
pretrain_20_half-seed0,20,0,96,3,2,100,0.0,0.16
