run_name,pretrain_steps,seed,model_hidden_dim,model_heads,model_depth,episode,win_rate,draw_rate
pretrain_0_1x-seed3,0,3,128,4,2,1400,0.0,0.95
pretrain_0_1x-seed3,0,3,128,4,2,1500,0.0,0.96
pretrain_0_1x-seed3,0,3,128,4,2,1600,0.0,0.96
pretrain_0_1x-seed3,0,3,128,4,2,1700,0.0,0.945
pretrain_0_1x-seed3,0,3,128,4,2,1800,0.0,0.99
pretrain_0_1x-seed4,0,4,128,4,2,0,0.0,0.185
pretrain_0_1x-seed4,0,4,128,4,2,100,0.0,0.2
pretrain_0_1x-seed4,0,4,128,4,2,200,0.0,0.29
pretrain_0_1x-seed4,0,4,128,4,2,300,0.0,0.41
pretrain_0_1x-seed4,0,4,128,4,2,400,0.0,0.465
pretrain_0_1x-seed4,0,4,128,4,2,500,0.0,0.62
pretrain_0_1x-seed4,0,4,128,4,2,600,0.0,0.805
pretrain_0_1x-seed4,0,4,128,4,2,700,0.0,0.775
pretrain_0_1x-seed4,0,4,128,4,2,800,0.0,0.855
pretrain_0_1x-seed4,0,4,128,4,2,900,0.0,0.92
pretrain_0_1x-seed4,0,4,128,4,2,1000,0.0,0.955
pretrain_0_1x-seed4,0,4,128,4,2,1100,0.0,0.925
pretrain_0_1x-seed4,0,4,128,4,2,1200,0.0,0.945
pretrain_0_1x-seed4,0,4,128,4,2,1300,0.0,0.965
pretrain_0_1x-seed4,0,4,128,4,2,1400,0.0,0.945
pretrain_0_1x-seed4,0,4,128,4,2,1500,0.0,0.965
pretrain_0_1x-seed4,0,4,128,4,2,1600,0.0,0.975
pretrain_0_1x-seed4,0,4,128,4,2,1700,0.0,0.975
pretrain_0_1x-seed4,0,4,128,4,2,1800,0.0,0.99
pretrain_20_1x-seed0,20,0,128,4,2,0,0.0,0.225
pretrain_20_1x-seed0,20,0,128,4,2,100,0.0,0.47
pretrain_20_1x-seed0,20,0,128,4,2,200,0.0,0.415
pretrain_20_1x-seed0,20,0,128,4,2,300,0.0,0.655
pretrain_20_1x-seed0,20,0,128,4,2,400,0.0,0.82
pretrain_20_1x-seed0,20,0,128,4,2,500,0.0,0.85
pretrain_20_1x-seed0,20,0,128,4,2,600,0.0,0.935
pretrain_20_1x-seed0,20,0,128,4,2,700,0.0,0.93
pretrain_20_1x-seed0,20,0,128,4,2,800,0.0,0.935
pretrain_20_1x-seed0,20,0,128,4,2,900,0.0,0.885
pretrain_20_1x-seed0,20,0,128,4,2,1000,0.0,0.945
pretrain_20_1x-seed0,20,0,128,4,2,1100,0.0,0.97
pretrain_20_1x-seed0,20,0,128,4,2,1200,0.0,0.975
pretrain_20_1x-seed0,20,0,128,4,2,1300,0.0,0.965
pretrain_20_1x-seed0,20,0,128,4,2,1400,0.0,0.98
pretrain_20_1x-seed0,20,0,128,4,2,1500,0.0,0.975
pretrain_20_1x-seed0,20,0,128,4,2,1600,0.0,0.965
pretrain_20_1x-seed0,20,0,128,4,2,1700,0.0,0.955
pretrain_20_1x-seed0,20,0,128,4,2,1800,0.0,0.925
pretrain_20_1x-seed0,20,0,128,4,2,1900,0.0,0.975
pretrain_20_1x-seed0,20,0,128,4,2,2000,0.0,0.975
pretrain_20_1x-seed0,20,0,128,4,2,2100,0.0,0.98
pretrain_20_1x-seed0,20,0,128,4,2,2200,0.0,0.99
pretrain_20_1x-seed1,20,1,128,4,2,0,0.0,0.25
pretrain_20_1x-seed1,20,1,128,4,2,100,0.0,0.32
pretrain_20_1x-seed1,20,1,128,4,2,200,0.0,0.41
pretrain_20_1x-seed1,20,1,128,4,2,300,0.0,0.655
pretrain_20_1x-seed1,20,1,128,4,2,400,0.0,0.745
pretrain_20_1x-seed1,20,1,128,4,2,500,0.0,0.81
pretrain_20_1x-seed1,20,1,128,4,2,600,0.0,0.885
pretrain_20_1x-seed1,20,1,128,4,2,700,0.0,0.895
pretrain_20_1x-seed1,20,1,128,4,2,800,0.0,0.935
pretrain_20_1x-seed1,20,1,128,4,2,900,0.0,0.895
pretrain_20_1x-seed1,20,1,128,4,2,1000,0.0,0.93
pretrain_20_1x-seed1,20,1,128,4,2,1100,0.0,0.965
pretrain_20_1x-seed1,20,1,128,4,2,1200,0.0,0.91
pretrain_20_1x-seed1,20,1,128,4,2,1300,0.0,0.955
pretrain_20_1x-seed1,20,1,128,4,2,1400,0.0,0.985
pretrain_20_1x-seed1,20,1,128,4,2,1500,0.0,0.985
pretrain_20_1x-seed1,20,1,128,4,2,1600,0.0,0.99
pretrain_20_1x-seed2,20,2,128,4,2,0,0.0,0.25
pretrain_20_1x-seed2,20,2,128,4,2,100,0.0,0.455
pretrain_20_1x-seed2,20,2,128,4,2,200,0.0,0.54
pretrain_20_1x-seed2,20,2,128,4,2,300,0.0,0.725
pretrain_20_1x-seed2,20,2,128,4,2,400,0.0,0.815
pretrain_20_1x-seed2,20,2,128,4,2,500,0.0,0.815
pretrain_20_1x-seed2,20,2,128,4,2,600,0.0,0.91
pretrain_20_1x-seed2,20,2,128,4,2,700,0.0,0.92
pretrain_20_1x-seed2,20,2,128,4,2,800,0.0,0.93
pretrain_20_1x-seed2,20,2,128,4,2,900,0.0,0.94
pretrain_20_1x-seed2,20,2,128,4,2,1000,0.0,0.965
pretrain_20_1x-seed2,20,2,128,4,2,1100,0.0,0.975
pretrain_20_1x-seed2,20,2,128,4,2,1200,0.0,0.965
pretrain_20_1x-seed2,20,2,128,4,2,1300,0.0,0.95
pretrain_20_1x-seed2,20,2,128,4,2,1400,0.0,0.94
pretrain_20_1x-seed2,20,2,128,4,2,1500,0.0,0.95
pretrain_20_1x-seed2,20,2,128,4,2,1600,0.0,0.95
pretrain_20_1x-seed2,20,2,128,4,2,1700,0.0,0.98
pretrain_20_1x-seed2,20,2,128,4,2,1800,0.0,0.97
pretrain_20_1x-seed2,20,2,128,4,2,1900,0.0,0.98
