episode,win_rate,draw_rate
0,0.0,0.2
100,0.0,0.225
200,0.0,0.2
300,0.0,0.37
400,0.0,0.455
500,0.0,0.56
600,0.0,0.7
700,0.0,0.855
800,0.0,0.91
900,0.0,0.955
1000,0.0,0.97
1100,0.0,0.945
1200,0.0,0.95
1300,0.0,0.965
1400,0.0,0.97
1500,0.0,0.975
1600,0.0,0.99
