episode,win_rate,draw_rate
0,0.0,0.165
100,0.0,0.28
200,0.0,0.46
300,0.0,0.625
400,0.0,0.825
500,0.0,0.915
600,0.0,0.95
700,0.0,0.975
800,0.0,0.975
900,0.0,0.995
