episode,win_rate,draw_rate
0,0.0,0.27
100,0.0,0.275
200,0.0,0.28
300,0.0,0.34
400,0.0,0.41
500,0.0,0.495
600,0.0,0.56
700,0.0,0.54
800,0.0,0.635
900,0.0,0.725
1000,0.0,0.81
1100,0.0,0.835
1200,0.0,0.9
1300,0.0,0.85
1400,0.0,0.875
1500,0.0,0.895
1600,0.0,0.935
1700,0.0,0.985
1800,0.0,0.955
1900,0.0,0.935
2000,0.0,0.95
2100,0.0,0.96
2200,0.0,0.95
2300,0.0,0.95
2400,0.0,0.96
2500,0.0,0.975
2600,0.0,0.975
2700,0.0,0.965
2800,0.0,0.975
2900,0.0,0.98
3000,0.0,0.97
3100,0.0,0.975
3200,0.0,0.995
