episode,win_rate,draw_rate
0,0.0,0.165
100,0.0,0.245
200,0.0,0.475
300,0.0,0.655
400,0.0,0.815
500,0.0,0.87
600,0.0,0.91
700,0.0,0.88
800,0.0,0.945
900,0.0,0.965
1000,0.0,0.955
1100,0.0,0.97
1200,0.0,0.95
1300,0.0,0.955
1400,0.0,0.965
1500,0.0,0.98
1600,0.0,0.985
1700,0.0,0.96
1800,0.0,0.98
1900,0.0,0.98
2000,0.0,0.97
2100,0.0,0.94
2200,0.0,0.97
2300,0.0,0.975
2400,0.0,0.97
2500,0.0,0.965
2600,0.0,0.975
2700,0.0,0.97
2800,0.0,0.975
2900,0.0,0.985
3000,0.0,0.975
3100,0.0,0.97
3200,0.0,0.97
3300,0.0,0.985
3400,0.0,0.995
