run_name,pretrain_steps,seed,model_hidden_dim,model_heads,model_depth,episode,win_rate,draw_rate
pretrain_40_double-seed0,40,0,192,6,2,0,0.0,0.245
pretrain_40_double-seed0,40,0,192,6,2,100,0.0,0.54
pretrain_40_double-seed0,40,0,192,6,2,200,0.0,0.655
pretrain_40_double-seed0,40,0,192,6,2,300,0.0,0.855
pretrain_40_double-seed0,40,0,192,6,2,400,0.0,0.95
pretrain_40_double-seed0,40,0,192,6,2,500,0.0,0.95
pretrain_40_double-seed0,40,0,192,6,2,600,0.0,0.96
pretrain_40_double-seed0,40,0,192,6,2,700,0.0,0.985
pretrain_40_double-seed0,40,0,192,6,2,800,0.0,0.985
pretrain_40_double-seed0,40,0,192,6,2,900,0.0,0.975
pretrain_40_double-seed0,40,0,192,6,2,1000,0.0,0.995
pretrain_40_double-seed1,40,1,192,6,2,0,0.0,0.255
pretrain_40_double-seed1,40,1,192,6,2,100,0.0,0.41
pretrain_40_double-seed1,40,1,192,6,2,200,0.0,0.385
pretrain_40_double-seed1,40,1,192,6,2,300,0.0,0.675
pretrain_40_double-seed1,40,1,192,6,2,400,0.0,0.935
pretrain_40_double-seed1,40,1,192,6,2,500,0.0,0.96
pretrain_40_double-seed1,40,1,192,6,2,600,0.0,0.95
pretrain_40_double-seed1,40,1,192,6,2,700,0.0,0.99
pretrain_40_double-seed2,40,2,192,6,2,0,0.0,0.285
pretrain_40_double-seed2,40,2,192,6,2,100,0.0,0.665
pretrain_40_double-seed2,40,2,192,6,2,200,0.0,0.9
pretrain_40_double-seed2,40,2,192,6,2,300,0.0,0.975
pretrain_40_double-seed2,40,2,192,6,2,400,0.0,0.98
pretrain_40_double-seed2,40,2,192,6,2,500,0.0,0.965
pretrain_40_double-seed2,40,2,192,6,2,600,0.0,0.995
pretrain_40_double-seed3,40,3,192,6,2,0,0.0,0.32
pretrain_40_double-seed3,40,3,192,6,2,100,0.0,0.64
pretrain_40_double-seed3,40,3,192,6,2,200,0.0,0.84
pretrain_40_double-seed3,40,3,192,6,2,300,0.0,0.92
pretrain_40_double-seed3,40,3,192,6,2,400,0.0,0.955
pretrain_40_double-seed3,40,3,192,6,2,500,0.0,0.995
pretrain_40_double-seed4,40,4,192,6,2,0,0.0,0.365
pretrain_40_double-seed4,40,4,192,6,2,100,0.0,0.7
pretrain_40_double-seed4,40,4,192,6,2,200,0.0,0.9
pretrain_40_double-seed4,40,4,192,6,2,300,0.0,0.96
pretrain_40_double-seed4,40,4,192,6,2,400,0.0,0.97
pretrain_40_double-seed4,40,4,192,6,2,500,0.0,0.985
pretrain_40_double-seed4,40,4,192,6,2,600,0.0,0.97
pretrain_40_double-seed4,40,4,192,6,2,700,0.0,0.985
pretrain_40_double-seed4,40,4,192,6,2,800,0.0,0.965
pretrain_40_double-seed4,40,4,192,6,2,900,0.0,0.98
pretrain_40_double-seed4,40,4,192,6,2,1000,0.0,0.99
pretrain_60_double-seed0,60,0,192,6,2,0,0.0,0.19
pretrain_60_double-seed0,60,0,192,6,2,100,0.0,0.35
pretrain_60_double-seed0,60,0,192,6,2,200,0.0,0.55
pretrain_60_double-seed0,60,0,192,6,2,300,0.0,0.76
pretrain_60_double-seed0,60,0,192,6,2,400,0.0,0.945
pretrain_60_double-seed0,60,0,192,6,2,500,0.0,0.955
pretrain_60_double-seed0,60,0,192,6,2,600,0.0,0.975
pretrain_60_double-seed0,60,0,192,6,2,700,0.0,0.975
pretrain_60_double-seed0,60,0,192,6,2,800,0.0,1.0
pretrain_60_double-seed1,60,1,192,6,2,0,0.0,0.25
pretrain_60_double-seed1,60,1,192,6,2,100,0.0,0.445
pretrain_60_double-seed1,60,1,192,6,2,200,0.0,0.825
pretrain_60_double-seed1,60,1,192,6,2,300,0.0,0.925
pretrain_60_double-seed1,60,1,192,6,2,400,0.0,0.915
pretrain_60_double-seed1,60,1,192,6,2,500,0.0,0.945
pretrain_60_double-seed1,60,1,192,6,2,600,0.0,0.985
pretrain_60_double-seed1,60,1,192,6,2,700,0.0,0.975
pretrain_60_double-seed1,60,1,192,6,2,800,0.0,0.99
pretrain_60_double-seed2,60,2,192,6,2,0,0.0,0.23
pretrain_60_double-seed2,60,2,192,6,2,100,0.0,0.31
pretrain_60_double-seed2,60,2,192,6,2,200,0.0,0.6
pretrain_60_double-seed2,60,2,192,6,2,300,0.0,0.865
pretrain_60_double-seed2,60,2,192,6,2,400,0.0,0.955
pretrain_60_double-seed2,60,2,192,6,2,500,0.0,0.975
pretrain_60_double-seed2,60,2,192,6,2,600,0.0,0.985
pretrain_60_double-seed2,60,2,192,6,2,700,0.0,0.98
pretrain_60_double-seed2,60,2,192,6,2,800,0.0,0.975
pretrain_60_double-seed2,60,2,192,6,2,900,0.0,0.99
pretrain_60_double-seed3,60,3,192,6,2,0,0.0,0.25
pretrain_60_double-seed3,60,3,192,6,2,100,0.0,0.585
pretrain_60_double-seed3,60,3,192,6,2,200,0.0,0.78
pretrain_60_double-seed3,60,3,192,6,2,300,0.0,0.865
pretrain_60_double-seed3,60,3,192,6,2,400,0.0,0.955
pretrain_60_double-seed3,60,3,192,6,2,500,0.0,0.97
pretrain_60_double-seed3,60,3,192,6,2,600,0.0,0.98
pretrain_60_double-seed3,60,3,192,6,2,700,0.0,1.0
pretrain_60_double-seed4,60,4,192,6,2,0,0.0,0.285
pretrain_60_double-seed4,60,4,192,6,2,100,0.0,0.595
pretrain_60_double-seed4,60,4,192,6,2,200,0.0,0.835
pretrain_60_double-seed4,60,4,192,6,2,300,0.0,0.95
