episode,win_rate,draw_rate
0,0.0,0.1
100,0.0,0.16
200,0.0,0.17
300,0.0,0.36
400,0.0,0.485
500,0.0,0.62
600,0.0,0.77
700,0.0,0.8
800,0.0,0.835
900,0.0,0.935
1000,0.0,0.905
1100,0.0,0.925
1200,0.0,0.9
1300,0.0,0.93
1400,0.0,0.915
1500,0.0,0.915
1600,0.0,0.88
1700,0.0,0.96
1800,0.0,0.945
1900,0.0,0.95
2000,0.0,0.97
2100,0.0,0.965
2200,0.0,0.96
2300,0.0,0.955
2400,0.0,0.95
2500,0.0,0.965
2600,0.0,0.96
2700,0.0,0.95
2800,0.0,0.985
2900,0.0,0.985
3000,0.0,0.985
3100,0.0,0.955
3200,0.0,0.985
3300,0.0,0.995
